Nr,Guten Morgen (in der jeweiligen Sprache),Sprache (Deutsch),Sprache (Englisch)
1,Guten Morgen,Deutsch,German
2,Good morning,Englisch,English
3,Bonjour,Französisch,French
4,Buenos días,Spanisch,Spanish
5,Bom dia,Portugiesisch,Portuguese
6,Buongiorno,Italienisch,Italian
7,Goedemorgen,Niederländisch,Dutch
8,God morgon,Schwedisch,Swedish
9,God morgen,Norwegisch,Norwegian
10,Godmorgen,Dänisch,Danish
11,Hyvää huomenta,Finnisch,Finnish
12,Góðan morgun,Isländisch,Icelandic
13,Bună dimineața,Rumänisch,Romanian
14,Jó reggelt,Ungarisch,Hungarian
15,Dobré ráno,Tschechisch,Czech
16,Dobré ráno,Slowakisch,Slovak
17,Dzień dobry,Polnisch,Polish
18,Доброе утро,Russisch,Russian
19,Доброго ранку,Ukrainisch,Ukrainian
20,Добрай раніцы,Belarussisch,Belarusian
21,Добро утро,Bulgarisch,Bulgarian
22,Καλημέρα,Griechisch,Greek
23,Günaydın,Türkisch,Turkish
24,Labas rytas,Litauisch,Lithuanian
25,Labrīt,Lettisch,Latvian
26,Tere hommikust,Estnisch,Estonian
27,Dobro jutro,Kroatisch,Croatian
28,Dobro jutro,Serbisch,Serbian
29,Dobro jutro,Slowenisch,Slovenian
30,Mirëmëngjes,Albanisch,Albanian
31,Gudde Moien,Luxemburgisch,Luxembourgish
32,Bongu,Maltesisch,Maltese
33,Maidin mhaith,Irisch,Irish
34,Bore da,Walisisch,Welsh
35,Madainn mhath,Schottisch-Gälisch,Scottish Gaelic
36,Bon dia,Katalanisch,Catalan
37,Bos días,Galicisch,Galician
38,Egun on,Baskisch,Basque
39,Bonghjornu,Korsisch,Corsican
40,Bon dì,Venezianisch,Venetian
41,Bon jornu,Sizilianisch,Sicilian
42,Bonos díes,Asturisch,Asturian
43,Goeiemôre,Afrikaans,Afrikaans
44,Goeie môre,Niederdeutsch,Low German
45,Guete Morge,Schweizerdeutsch,Swiss German
46,Guden Morgen,Nordfriesisch,North Frisian
47,Sawubona ekuseni,Zulu,Zulu
48,Molweni,Xhosa,Xhosa
49,صباح الخير,Arabisch,Arabic
50,בוקר טוב,Hebräisch,Hebrew
51,صبح بخیر,Persisch,Persian
52,سهار مو پخير,Paschtu,Pashto
53,Բարի լույս,Armenisch,Armenian
54,დილა მშვიდობისა,Georgisch,Georgian
55,Sabahınız xeyir,Aserbaidschanisch,Azerbaijani
56,Қайырлы таң,Kasachisch,Kazakh
57,Xayrli tong,Usbekisch,Uzbek
58,Кутман таң,Kirgisisch,Kyrgyz
59,Субҳ ба хайр,Tadschikisch,Tajik
60,Өглөөний мэнд,Mongolisch,Mongolian
61,सुप्रभात,Hindi,Hindi
62,শুভ সকাল,Bengalisch,Bengali
63,صبح بخیر,Urdu,Urdu
64,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Punjabi,Punjabi
65,સુપ્રભાત,Gujarati,Gujarati
66,ଶୁଭ ସକାଳ,Odia,Odia
67,সুপ্ৰভাত,Assamesisch,Assamese
68,काळी वंदन,Konkani,Konkani
69,காலை வணக்கம்,Tamil,Tamil
70,శుభోదయం,Telugu,Telugu
71,ಶುಭೋದಯ,Kannada,Kannada
72,സുപ്രഭാതം,Malayalam,Malayalam
73,सुप्रभात,Marathi,Marathi
74,शुभ प्रभात,Nepali,Nepali
75,සුභ උදෑසනක්,Singhalesisch,Sinhala
76,ཞོགས་པ་བདེ་ལེགས,Tibetisch,Tibetan
77,ཞོགས་པ་བདེ་ལེགས,Dzongkha,Dzongkha
78,早上好,Chinesisch (Mandarin),Chinese (Mandarin)
79,早晨,Kantonesisch,Cantonese
80,早安,Hakka,Hakka
81,早安,Min Nan,Min Nan
82,おはようございます,Japanisch,Japanese
83,좋은 아침입니다,Koreanisch,Korean
84,Chào buổi sáng,Vietnamesisch,Vietnamese
85,สวัสดีตอนเช้า,Thailändisch,Thai
86,Selamat pagi,Indonesisch,Indonesian
87,Selamat pagi,Malaiisch,Malay
88,Magandang umaga,Tagalog,Tagalog
89,Maayong buntag,Cebuano,Cebuano
90,Naimbag a bigat,Ilokano,Ilocano
91,Sugeng enjing,Javanisch,Javanese
92,Wilujeng énjing,Sundanesisch,Sundanese
93,ສະບາຍດີຕອນເຊົ້າ,Laotisch,Lao
94,អរុណសួស្តី,Khmer,Khmer
95,မင်္ဂလာပါ မနက်ခင်းပါ,Birmanisch,Burmese
96,እንደምን አደርክ,Amharisch,Amharic
97,E káàárọ̀,Yoruba,Yoruba
98,Ụtụtụ ọma,Igbo,Igbo
99,Ina kwana,Hausa,Hausa
100,Subax wanaagsan,Somali,Somali
101,Habari za asubuhi,Swahili,Swahili
102,I ni sogoma,Bambara,Bambara
103,Suba si,Wolof,Wolof
104,Jam waali,Fulfulde,Fula
105,Maakye,Twi,Twi
106,Ŋdi,Ewe,Ewe
107,Kudo,Fon,Fon
108,Mbote na ntɔ́ngɔ́,Lingala,Lingala
109,Wasuze otya nno,Luganda,Ganda
110,Mwaramutse,Kinyarwanda,Kinyarwanda
111,Mwaramutse,Kirundi,Kirundi
112,Mangwanani,Shona,Shona
113,Mwadzuka bwanji,Chichewa,Chichewa
114,Dumela,Setswana,Tswana
115,Dumela,Sesotho,Southern Sotho
116,Azul,Kabylisch,Kabyle
117,Azul,Tamazight,Tamazight
